published_at,cleaned_text,sentiment_score,sentiment,topic
2024-12-19T23:11:41Z,temu u seller program dtc opportunity dtc good unique sold competing merchant opportunity post temu u seller program dtc opportunity appeared first practical ecommerce direct consumer brand eager find customer opportunity temu china rapidly growing discount marketplace february 2024 temu launched u seller program effectively open 3988 char freight rate,0.9623,positive,freight rates
2024-12-10T13:00:00Z,9 5 anytime telecommuting change traffic game 9 5 anytime telecommuting change traffic game andreea neculae tue 12 10 2024 05 00 7 minute article adapted piece originally published coworkingcafe million began working home many u thought finallya break endless traffic jam wfh new n 9378 char freight rate,0.0,neutral,freight rates
2024-12-05T22:51:51Z,test driving 2025 kia carnival hybrid award world best overall family vehicle money 2025 kia carnival hybrid mpv 2025 kia carnival hybrid hev 2024 kia award world best overall family vehicle money 2025 kia carnival hybrid mpv three row multi purpose vehicle let 7691 char freight rate,-0.765,negative,freight rates
2024-12-20T09:00:00Z,u oil export europe set january dip crude oil export united state europe set dip next month amid tightening spread west texas intermediate brent reuters reported citing commodity analyst u oil export europe hit time high november 7 qcells set world national grid unveils 35 charles kennedy dec 20 2024 3 00 cstcrude oil export united state europe set dip next month amid tightening spr 1792 char freight rate,0.2263,positive,freight rates
2024-12-16T12:18:41Z,falling shipping rate u europe sector bring cheer shipper drop shipping rate attribute many factor primary reason drop cargo volume far east europe u sector significant drop shipping rate especially u europe sector brought cheer exporter fraternity many believe come inappropriate time 2731 char freight rate,0.3612,positive,freight rates
2024-12-18T07:00:00Z,case study upply php advantage resisted switch scala rust go pause excited relaunch publication case study symfony community whether tackled challenging upgrade solved complex technical issue transformed team workflow want hear share experie pause excited relaunch publication case study symfony community whether youve tackled challenging upgrade solved complex technical issue transformed team 12848 char freight rate,0.9136,positive,freight rates
2024-12-03T10:40:00Z,thai export performance improving steadily p thai strong export strong performed better expected year say thai national shipper rsquo council tnsc expects 2024 forecast upgraded year draw close p thai export performed better expected year say thai national shipper council tnsc expects 2024 forecast upgraded year draw close group e 2088 char freight rate,0.9349,positive,freight rates
2024-12-19T03:22:58Z,global shipping company file chapter 11 bankruptcy shipping logistics industry faced great freight recession since march 2022 major company filing bankruptcy ceasing operation recent report claimed freight recession might ending rising truck shipping logistics industry faced great freight recession since march 2022 major company filing bankruptcy ceasing operation recent report claimed 147 char freight rate,0.2023,positive,freight rates
2024-12-06T15:50:01Z,spot rate rollercoaster carrier bank gris ahead lunar new year asia europe carrier saw early december general rate increase gris stick week spot rate north europe mediterranean port seeing double digit increase gavin van marle loadstar asia europe carrier saw early december general rate increase gris stick week spot rate north europe mediterranean port seein 2608 char freight rate,0.7096,positive,freight rates
2024-12-04T09:49:11Z,removed removed removed freight rate,0.0,neutral,freight rates
2024-11-25T11:11:25Z,uber technology uber best stock invest next 3 month recently published list 12 best stock invest next 3 month article going take look uber technology ul li morgan stanley global investment committee advises investor approach current market trend cautiously due three primary risk stretched equity valuation ambitious corporate earnin 7726 char freight rate,0.9102,positive,freight rates
2024-12-19T23:23:33Z,u crude export europe expected fall jan shipping economics weaken u crude oil export northwest europe likely slip early next year hitting record high november arbitrage transatlantic shipment slammed shut freight rate climbed analyst said week u crude oil export northwest europe likely slip early next year hitting record high november arbitrage transatlantic shipment slammed shut freight rate 95 char freight rate,-0.9313,negative,freight rates
2024-12-15T05:11:12Z,rising rejection rate amid demand drop reveal truckload capacity exodus chart week contract load accepted volume index outbound tender volume index usa sonar clav usa otri usa carrier accepting load volume april 2023 near theoretical floor freight market recent recession chart week contract load accepted volume index outbound tender volume index usa sonar clav usa otri usacarriers accepting load volume april 2023 near 146 char freight rate,-0.128,negative,freight rates
2024-12-14T13:59:51Z,lng freight rate plummet sector grapple glut ship overproduction vessel 2022 energy crisis delay gas project weigh market ship fuel overproduction vessel 2022 energy crisis delay gas project weigh market ship fuel story appeared ft com 2024 12 14 13 00 22 freight rate,-0.8625,negative,freight rates
2024-12-18T04:40:23Z,fedex watch q2 earnings freight spinoff plan big stock move stifel say fedex watch q2 earnings freight spinoff plan big stock move stifel say investing com global logistics giant fedex corporation nyse fdx set report quarterly earnings later week analyst stifel predicting sharp move stock especially 1277 char freight rate,0.0,neutral,freight rates
2024-12-19T23:15:49Z,u crude export europe expected fall jan shipping economics weaken u crude export europe expected fall jan shipping economics weaken georgina mccartney arathy somasekhar ene tunagur houston london reuters u crude oil export northwest europe likely slip early next year hitting record high nove 2259 char freight rate,-0.9493,negative,freight rates
2024-12-09T20:54:50Z,maersk lunar new year labor dispute port congestion challenge european shipping market 2025 early month 2025 present unique challenge opportunity shipping industry lunar new year beginning january 29 2025 expected impact global shipping pattern early month 2025 present unique challenge opportunity shipping industry lunar new year beginning january 29 2025 expected impact global shipping pattern 3230 char freight rate,0.5859,positive,freight rates
2024-11-26T23:53:34Z,shipping industry wrestling one largest challenge shipping industry contending worldwide shortage seafarer fueling troubling mix fake resume accident sea elevated freight rate seeing consistent shortage seafarer rhett harris senior manning shipping industry contending worldwide shortage seafarer fueling troubling mix fake resume accident sea elevated freight rate seeing consi 142 char freight rate,-0.9723,negative,freight rates
2024-12-20T09:25:19Z,trump want eu buy u oil gas face tariff trump said europe would pay heavy price run large trade surplus u decade post trump want eu buy u oil gas face tariff appeared first euractiv u president elect donald trump said friday 20 december european union may face tariff bloc cut growing deficit united state making large oil gas 2357 char freight rate,-0.0258,negative,freight rates
2024-12-12T14:00:00Z,christine lagarde luis de guindos monetary policy statement european central bank ecb central bank european union country adopted euro main task maintain price stability euro area preserve purchasing power single currency christine lagarde president ecb luis de guindos vice president ecb frankfurt main 12 december 2024 good afternoon vice president welcome press conference 10957 char freight rate,0.7096,positive,freight rates
2024-12-09T06:05:39Z,analysis strong momentum make hard bet freight train u stock rally analysis strong momentum make hard bet freight train u stock rally saqib iqbal ahmed new york reuters relentless rally u stock showing sign slowing year end even rising valuation sign excessive speculation fuel worry 4450 char freight rate,0.4767,positive,freight rates
2024-12-16T11:52:32Z,lagarde say ecb continue cut interest rate european central bank chief christine lagarde said monday eurozone policymakers would keep cutting interest rate warned higher u tariff president elect donald trump could hit growth bloc even though yet clos european central bank president christine lagarde said eurozone growth likely take hit united state go protectionism mode copyright afp adrian dennis european central bank 2297 char freight rate,0.8519,positive,freight rates
2024-12-18T08:44:06Z,transparency enforcement could squeeze broker margin analyst freight watcher think increased freight transparency likely squeeze broker margin side whether come favor carrier shipper could depend market every broker every load tell shipper carrier buy sell price load would happen nobody know exactly owner operator engaged broker 6754 char freight rate,0.7579,positive,freight rates
2024-11-26T23:51:40Z,removed removed removed freight rate,0.0,neutral,freight rates
2024-12-15T12:00:00Z,borderland mexico cyberattacks rise mexico cross border trade grows week borderland cyberattacks rise mexico cross border trade grows california begin construction second otay mesa border port entry yahoo using ai generate takeaway article mean info may always match article reporting mistake help u improve experience generate key takeaway b 6481 char freight rate,0.4939,positive,freight rates
2024-12-07T00:00:01Z,railway developing vande bharat parcel train e commerce shipping national transporter hope new service using semi fast train help regain non bulk freight business moved roadway air cargo indian railway plan run dedicated vande bharat parcel train specific route capture chunk good shipped online marketplace like amazon flipkart use road air carg 4205 char freight rate,0.9287,positive,freight rates
2024-12-18T09:59:16Z,ecb must stay agile cutting rate uncertain world lane say european central bank must keep open mind pace interest rate cut lingering risk global economy could still shift outlook inflation according chief economist philip lane wage growth profit geopolitical tension could push energy price freight cost creating new upward pressure price lane said wednesday hand protracted hit confi 1867 char freight rate,0.6808,positive,freight rates
2024-12-01T15:06:01Z,shipping reform build supply chain resilience modernising port supporting sustainable logistics india help deal supply chain vulnerability covid pandemic exposed vulnerability global supply chain gscs subsequent geopolitical crisis including suez canal blockage 2021 ongoing israel gaza conflict 4182 char freight rate,-0.5994,negative,freight rates
2024-12-18T12:40:45Z,swiss worldcargo partner webcargo ebooking swiss worldcargo partner webcargo ebooking zurich swiss worldcargo air freight division swiss switzerland leading air carrier entered collaboration freightos limited nasdaq crgo prominent booking paymen 3828 char freight rate,0.1027,positive,freight rates
2024-12-13T15:40:24Z,wallenius wilhelmsen secures contract worth 375m market show sign cooling wallenius wilhelmsen secured two major multi year contract leading automotive manufacturer featuring biofuel component deal valued approximately 375 million combined demonstrate growing commitment environmental wallenius wilhelmsen secured two major multi year contract leading automotive manufacturer featuring biofuel component deal valued approximately 375 million combined dem 2067 char freight rate,0.9493,positive,freight rates
2024-12-03T08:21:05Z,heniff purchase 30 truck hagen johnson thanksgiving spot market freight lull term heniff transportation system 30 truck hagen johnson trucking deal disclosed also lookout opportunity brokered freight market week post thanksgiving rate typically rise dry van reefer trucking news brief dec 3 2024 30 truck tanker fleet hagen johnson acquired heniff heniff transportation system ccj top 250 64 acquired 30 truck food grade tanker hauler 2480 char freight rate,0.5574,positive,freight rates
2024-11-29T11:38:22Z,pakistan offer india stiff competition global rice price rise sharp fall global rice price firm 10 drop pakistan offering tough competition india ramadan demand drive price rice price global market begun firm dropping 10 per cent still pakistan offering tough competition india competitive pricing rice price begun 3341 char freight rate,-0.4404,negative,freight rates
2024-12-18T09:00:00Z,philip r lane euro area outlook monetary policy european central bank ecb central bank european union country adopted euro main task maintain price stability euro area preserve purchasing power single currency speech philip r lane member executive board ecb mni webcast frankfurt main 18 december 2024 introduction governing council last week decided lower deposit facili 10511 char freight rate,-0.296,negative,freight rates
2024-12-18T08:12:45Z,diesel hovering around 3 50 freight rate present mixed bag fuel price hit three year low two week ago week ticking slightly last week meanwhile rate last week plus news around trucking trucking news brief wednesday dec 18 2024 3 50 per gallon diesel price hover headed holiday falling lowest national average three year w 7872 char freight rate,-0.3818,negative,freight rates
2024-12-16T18:08:53Z,broker transparency boosting rate fight carrier right debate broker carrier rage transparency might trucker rate fmcsa ooida note point proposed change debate around broker transparency past year veered squabble freight rate broker margin well history deregulation freight brokerage writ large 7560 char freight rate,-0.4019,negative,freight rates
2024-12-03T21:05:00Z,xpo provides north american ltl operating data november 2024 greenwich conn dec 03 2024 globe newswire xpo nyse xpo leading provider freight transportation north america today reported certain preliminary ltl segment operating metric november 2024 ltl tonnage per day decreased 4 0 co greenwich conn dec 03 2024 globe newswire xpo nyse xpo leading provider freight transportation north america today reported certain preliminary ltl segment operating metric 4703 char freight rate,0.4939,positive,freight rates
2024-12-11T16:34:00Z,logistics december port rail ramp index u west coast port experience significant import volume amid fear january ila strike logistics confirms east gulf coast port experiencing normal calm post retail peak prior lunar new year logistics confirms east gulf coast port experiencing normal calm post retail peak prior lunar new year reno nev dec 11 2024 globe newswire logistics today released december forecast logistics u port rail ramp freight index month index confirms macro 4778 char freight rate,0.1779,positive,freight rates
2024-11-26T23:51:40Z,bluff existential threat trump vow tariff import canada mexico china leader wonder serious president elect donald trump vowed enact hefty new tariff mexico canada china soon take office part crackdown illegal yahoo using ai generate takeaway article mean info may always match article reporting mistake help u improve experience generate key takeaway b 10346 char freight rate,-0.6249,negative,freight rates
2024-11-29T15:54:17Z,shipping magnate pivot 6 billion fortune towards equity family office maria angelicoussis greece richest shipping magnate boosting publicly traded investment notching huge gain private market bet according people knowledge matter ben stupples bloomberg family office maria angelicoussis greece richest shipping magnate boosting publicly traded investment notching huge gain private market bet 2775 char freight rate,0.9686,positive,freight rates
2024-12-20T18:39:02Z,transparency enforcement bad shipper broker carrier dat ken adamo theory broker transparency could give away game freight middleman incentivize small trucking company shipper work together dat ken adamo plan weigh fmcsa rule dat chief analytics ken adamo told roundtable meeting big shipper issue broker transparency federal motor carrier safety administration recently announced plan 9752 char freight rate,-0.1779,negative,freight rates
2024-12-20T18:23:37Z,u stock climb treasury yield ease key fed inflation measure cool u stock climb treasury yield ease key fed inflation measure cool investing com u stock rallied friday underpinned falling treasury yield cooler expected inflation data eased concern federal reserve could turn even hawkish next year 2637 char freight rate,0.9118,positive,freight rates
2024-12-16T08:15:00Z,christine lagarde monetary policy euro area european central bank ecb central bank european union country adopted euro main task maintain price stability euro area preserve purchasing power single currency speech christine lagarde president ecb bank lithuania annual economics conference pillar resilience amid global geopolitical shift occasion 10th annivers 16107 char freight rate,0.0,neutral,freight rates
2024-12-20T11:00:08Z,cmo roadmap marketing technology success cmos strategically leverage right technology encourage drive marketing innovation achieve business objective continue reading gist ul li strategic tech selection key cmos must prioritize tool drive innovation efficiency measurable outcome li li future proof martech stack matter scalable adaptable 14618 char freight rate,0.93,positive,freight rates
2024-12-07T00:00:00Z,highway toll revenue growth slows may fall short fy25 target india highway toll collection may miss 70 000 crore target fy25 expected pick next year onwards toll road get commissioned india highway toll collection growth slowing may fall short projected 70 000 crore current financial year according two person aware development mirroring slow 5060 char freight rate,0.5574,positive,freight rates
2024-12-11T23:05:42Z,japan firm expect trump presidency harm business environment reuters survey show japan firm expect trump presidency harm business environment reuters survey show kiyoshi takenaka tokyo reuters nearly three quarter japanese company expect donald trump next term u president negative impact business environment citing pl 3093 char freight rate,-0.8934,negative,freight rates
2024-11-26T23:30:07Z,shipping industry wrestling one largest challenge shipping industry contending shortage seafarer fueling troubling mix fake resume accident sea higher freight rate container near berthed cargo vessel terminal southeastern port city busan nov 24 2024 shipping industry contending worldwide shortage seafarer fue 6122 char freight rate,-0.9081,negative,freight rates
2024-11-27T07:31:46Z,broker confession novel aim seedy underbelly digital freight culture new work fiction authored former broker reviewed long haul paul novel aim chronicle underbelly digital freight culture author cameron b ritter new novel early november talk broker transparency half cameron b ritters new novel confession freight broker basis fact 9475 char freight rate,0.802,positive,freight rates
2024-12-16T14:42:56Z,torm stock plunge 52 week low 18 71 torm stock plunge 52 week low 18 71 challenging year torm shipping company stock tumbled 52 week low reaching price level 18 71 downturn reflects significant 1 year change stock val 1915 char freight rate,-0.2732,negative,freight rates
2024-12-09T16:30:00Z,ta recognized 2024 food logistics supply demand chain executive top software technology solution award honoring ta ongoing commitment innovation customer focused supply chain solution honoring ta ongoing commitment innovation customer focused supply chain solution mansfield texas dec 09 2024 globe newswire ta leading north american third party logistics provider 3pl announces recognition winner 2024 food logistics supply amp 4559 char freight rate,0.9886,positive,freight rates
2024-12-19T09:07:14Z,mountain eld xeld revoked fmcsa mountain eld xeld two latest eld removed list certified device fmcsa also trucking condition saw positive turn october trucking news trucking news brief wednesday dec 18 2024 another two eld removed registered device list mountain eld alaska safety inc provider xeld two latest de 4951 char freight rate,0.7506,positive,freight rates
2024-12-09T17:34:34Z,india economic slowdown keep 7 8 india recent economic slowdown prompted reassessment growth strategy sluggish private consumption investment alongside global challenge necessitate shift public investment spurred initial recovery focus must turn pri slowdown growth q2 fy25 quite predicted goi economist forced everyone look closely growth scenario time 6 7 seemed given even challenging global 4035 char freight rate,0.4588,positive,freight rates
2024-12-03T18:17:12Z,post election optimism yield opportunity new start trucking business big shfit mood post election delivers opportunity reset yet let knee jerk reaction overtake necessity careful planning like shock defibrillator applied chest accident victim morning november 6 stock market investor optimism jerked seemed wake amp p hittin 7094 char freight rate,0.6908,positive,freight rates
2024-12-20T13:10:27Z,stock market today u market poised open lower potential government shutdown loom wall street poised open significant loss friday possibility government shutdown right christmas came closer reality house resoundingly rejected president elect donald trump new plan fund operation wall street poised open significant loss friday possibility government shutdown right christmas came closer reality house resoundingly rejected presiden 3056 char freight rate,-0.7717,negative,freight rates
2024-11-25T22:48:41Z,heartland express inc announces participation upcoming conference heartland express inc announces participation upcoming conference north liberty iowa nov 25 2024 globe newswire heartland express inc nasdaq nasdaq htld announced chris strain chief financial officer participate 2024 ubs global ind 2368 char freight rate,0.4939,positive,freight rates
2024-12-19T21:16:09Z,fedex report second quarter diluted eps 3 03 adjusted diluted eps 4 05 fedex report second quarter diluted eps 3 03 adjusted diluted eps 4 05 1 billion share repurchase completed quarterfull year fiscal 2025 earnings outlook revisedfedex completes fedex freight assessment pursue full separation create new publicly trad 23245 char freight rate,0.5106,positive,freight rates
2024-11-25T22:45:00Z,heartland express inc announces participation upcoming conference north liberty iowa nov 25 2024 globe newswire heartland express inc nasdaq htld announced chris strain chief financial officer participate 2024 ubs global industrials transportation conference wednesday december 4 202 north liberty iowa nov 25 2024 globe newswire heartland express inc nasdaq htld announced chris strain chief financial officer participate 2024 ubs global industrials 2323 char freight rate,0.7506,positive,freight rates
2024-11-29T13:30:00Z,bullish catalyst build oil market price remain rangebound relatively calm week oil price despite plenty development geopolitical fundamental front price might begin climb next week thanksgiving disrupted highly eventful week saw opec ramp shuttle china unthinkable total number active russia shadow fleet shifted michael kern nov 29 2024 7 30 cstit relatively calm week oil price despite pl 4731 char freight rate,0.765,positive,freight rates
2024-12-12T09:30:00Z,transforming delivery process advantage route optimization software enterprise efficient delivery operation crucial customer expectation speed flexibility continue rise route optimization software revolutionizing logistics enabling enterprise cut delivery cost enhancing customer satisfaction p efficient delivery operation crucial customer expectation speed flexibility continue rise route optimization software revolutionizing logistics enabling enterprise cut de 8192 char freight rate,0.9509,positive,freight rates
2024-12-04T08:29:35Z,airline brace increased cost market share loss amid ongoing supply chain woe airline struggle supply chain issue impacting sustainability goal customer service leading delay increased cost airline investing new plane product lingering supply chain issue hampering plan meet sustainability goal provide better service customer passen 4158 char freight rate,-0.1027,negative,freight rates
2024-11-27T07:00:00Z,gogl third quarter 2024 result hamilton bermuda november 27 2024 golden ocean group limited nasdaq ose gogl company golden ocean world largest listed owner large size dry bulk vessel today announced unaudited result quarter ended september 30 hamilton bermuda november 27 2024 golden ocean group limited nasdaq ose gogl company golden ocean world largest listed owner large size dry bulk vessel today announced 13019 char freight rate,-0.4215,negative,freight rates
2024-12-04T08:29:35Z,airline brace increased cost market share loss amid ongoing supply chain woe airline struggle supply chain issue impacting sustainability goal customer service leading delay increased cost airline investing new plane product lingering supply chain issue hampering plan meet sustainability goal provide better service customer passen 4135 char freight rate,-0.1027,negative,freight rates
2024-12-02T07:44:03Z,bw lpg limited financial result q3 2024 bw lpg limited financial result q3 2024 singapore business wire highlight subsequent event ul li another good quarter shipping tce income shipping q3 2024 concluded u 46 800 per available day u 46 500 per c 9178 char freight rate,0.3612,positive,freight rates
2024-11-26T15:48:56Z,trade war 2 0 trump announces tariff top trading partner president elect donald trump vowed additional tariff mexico canada china shaking market first specific threat u top trading partner since election win three week ago nancy cook brian platt bloomberg president elect donald trump vowed additional tariff mexico canada china shaking market first specific threat us top trading 7867 char freight rate,-0.7096,negative,freight rates
2024-12-05T02:11:56Z,revolve group see 9 38 million stock sale major shareholder revolve group see 9 38 million stock sale major shareholder december 2 mmmk development sold 70 462 share average price 35 7 followed additional 19 804 share average price 36 16 next day december 3 company sold 65 1 2936 char freight rate,0.5267,positive,freight rates
2024-11-26T18:37:11Z,fossil fuel company exec picked lead energy department chris wright founder liberty energy viewed fossil fuel pragmatist also pre thanksgiving rate bump mack volvo dealer expands acquisition midwest driver named highway angel helping pedestrian involved hit run trucking news brief tuesday nov 26 2024 trump energy secretary pick led fossil fuel focused liberty energy chris wright ceo denver based liberty energy trump nominee lea 6912 char freight rate,0.9716,positive,freight rates
2024-12-12T14:20:57Z,lagarde comment ecb press conference lagarde comment ecb press conference frankfurt reuters european central bank cut interest rate fourth time year thursday kept door open easing 2025 growth take hit political inst 3949 char freight rate,0.6705,positive,freight rates
2024-12-13T14:45:04Z,shipping giant maersk expects strong demand another year disruption global trade 2025 trump tariff china mexico threat u port strike supply chain expects another year disruption also strong demand past year strong one north american import trade demand continue ocean air cargo 2025 according shipping giant maersk supply cha 7122 char freight rate,-0.128,negative,freight rates
2024-12-02T07:36:41Z,fmcsa intends hold broker foot fire transparency work fmcsa intends hold broker foot fire record transparency work might broker eventually find another easy contract language timing loophole federal motor carrier safety administration earlier month finally moved long awaited broker transparency rulemaking immediately ignited fierce debate broker 9345 char freight rate,0.2023,positive,freight rates
2024-12-05T18:38:11Z,shipping firm scale ops help india ride growth wave shipping line bolstering capacity accommodate india burgeoning export maersk hapag lloyd msc cma cgm introducing new route enhancing service aiming improve trade efficiency reduce cost expansion come india mumbai shipping line adding capacity support india export growth multinationals maersk hapag lloyd gemini cooperation msc cma cgm launching new route upgrading 3839 char freight rate,0.9325,positive,freight rates
2024-12-20T17:11:50Z,dow soar 700 point investor welcome surprising inflation data midday trading dow jones industrial average jumped 769 point 1 8 43 113 wall street main index jumped volatile trading friday cooler expected inflation report eased market concern triggered federal reserve forecasting two rate reduct 2668 char freight rate,0.743,positive,freight rates
2024-12-13T14:36:16Z,hold breath trucking turnaround 2025 hope high incoming trump administration new year clifford petersen warns waiting cavalry overtime pay driver parking positive change require plenty oxygen ever something traumatic stressful actually held breath passed havent overdrive extra usual last month several reason 4156 char freight rate,-0.3182,negative,freight rates
2024-12-17T19:15:00Z,algorhythm holding inc announces 2 million registered direct offering fort lauderdale fl dec 17 2024 globe newswire algorhythm holding inc nasdaq rime algorhythm company ai driven technology consumer electronics holding company today announced entered definitive agreement w fort lauderdale fl dec 17 2024 globe newswire algorhythm holding inc nasdaq rime algorhythm company ai driven technology consumer electronics holding company today ann 6397 char freight rate,0.4939,positive,freight rates
2024-12-03T11:30:00Z,land survey equipment market record 13 9 bn 2032 say global market insight inc major land survey equipment market participant include bosch tool deepwell emlid tech faro geotech hexagon shanghai huace navigation technology stonex topcon trimble major land survey equipment market participant include bosch tool deepwell em selbyville delaware dec 03 2024 globe newswire land survey equipment market predicted reach usd 13 9 billion 2032 reported research study global market insight inc 6567 char freight rate,0.0258,positive,freight rates
2024-12-17T19:20:57Z,algorhythm holding announces 2 million stock sale algorhythm holding announces 2 million stock sale fort lauderdale algorhythm holding inc nasdaq rime technology consumer electronics company current market capitalization 1 15 million disclosed registered direct offer 4667 char freight rate,0.0,neutral,freight rates
2024-12-19T16:21:00Z,thor industry announces regular quarterly dividend elkhart ind dec 19 2024 globe newswire thor industry inc nyse tho today announced board director approved december 19 2024 meeting payment regular quarterly cash dividend 0 50 per share elkhart ind dec 19 2024 globe newswire thor industry inc nyse tho today announced board director approved december 19 2024 meeting payment regular qu 5907 char freight rate,0.7783,positive,freight rates
2024-12-11T00:05:34Z,revitalising nigeria economy manufacturing driven non oil export nigeria currently facing severe economic challenge indicated several key indicator inflation rate stand approximately 33 88 october 2024 result persistent supply chain disruption fuel subsidy removal budgetary co nigeria currently facing severe economic challenge indicated several key indicator inflation rate stand approximately 33 88 october 2024 result persistent 14959 char freight rate,-0.7269,negative,freight rates
2024-12-09T00:06:09Z,revitalising nigeria economy manufacturing driven non oil export nigeria currently facing severe economic challenge indicated several key indicator inflation rate stand approximately 33 88 october 2024 result persistent supply chain disruption fuel subsidy removal budgetary co nigeria currently facing severe economic challenge indicated several key indicator inflation rate stand approximately 33 88 october 2024 result persistent 14950 char freight rate,-0.7269,negative,freight rates
